Organization,Sub-Organization,Site,Year,Fiscal Week,Hours Worked,DAFW Cases (Injury),DAFW Cases (Illness),RWA Cases (Injury),RWA Cases (Illness),Fatalities (Injury),Fatalities (Illness),Other Recordable Injuries,Other Recordable Illnesses,Total Recordable Cases,Total DAFW Cases,DAFW Days (Injury),DAFW Days (Illness),RWA Days (Injury),RWA Days (Illness),FW Recordable Rate,Cumulative Recordable Rate,FW DAFW Rate,Cumulative DAFW Rate
North America Fulfillment Centers (FCs),Legacy Non Sort,HOU3,2018,11,3081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North America Fulfillment Centers (FCs),Legacy Non Sort,HOU3,2018,12,8615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North America Fulfillment Centers (FCs),Legacy Non Sort,HOU3,2018,13,13135,1,0,0,0,0,0,0,0,1,1,27,0,0,0,15.23,8.05,15.23,8.05
North America Fulfillment Centers (FCs),Legacy Non Sort,HOU3,2018,14,17862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.68,0,4.68
North America Fulfillment Centers (FCs),Legacy Non Sort,HOU3,2018,15,20659,0,0,0,0,0,0,1,0,1,0,0,0,0,0,9.68,6.31,0,3.16
North America Fulfillment Centers (FCs),Legacy Non Sort,HOU3,2018,16,21824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7,0,2.35
North America Fulfillment Centers (FCs),Legacy Non Sort,HOU3,2018,17,22208,1,0,0,0,0,0,0,0,1,1,19,0,0,0,9.01,5.59,9.01,3.72
North America Fulfillment Centers (FCs),Legacy Non Sort,HOU3,2018,18,25355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.52,0,3.01
North America Fulfillment Centers (FCs),Legacy Non Sort,HOU3,2018,19,27899,1,0,0,0,0,0,1,0,2,1,96,0,0,0,14.34,6.23,7.17,3.74
North America Fulfillment Centers (FCs),Legacy Non Sort,HOU3,2018,20,29544,1,0,2,0,0,0,0,0,3,1,25,0,174,0,20.31,8.41,6.77,4.21
North America Fulfillment Centers (FCs),Legacy Non Sort,HOU3,2018,21,30614,1,0,1,0,0,0,1,0,3,1,6,0,8,0,19.6,9.96,6.53,4.53
North America Fulfillment Centers (FCs),Legacy Non Sort,HOU3,2018,22,33598,2,0,2,0,0,0,0,0,4,2,26,0,157,0,23.81,11.79,11.91,5.5
North America Fulfillment Centers (FCs),Legacy Non Sort,HOU3,2018,23,30719,4,0,0,0,0,0,0,0,4,4,309,0,20,0,26.04,13.33,26.04,7.72
North America Fulfillment Centers (FCs),Legacy Non Sort,HOU3,2018,24,29848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.07,0,6.99
North America Fulfillment Centers (FCs),Legacy Non Sort,HOU3,2018,25,32800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.93,0,6.33
North America Fulfillment Centers (FCs),Legacy Non Sort,HOU3,2018,26,32695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.99,0,5.78
North America Fulfillment Centers (FCs),Legacy Non Sort,HOU3,2018,27,36990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1,0,5.27
North America Fulfillment Centers (FCs),Legacy Non Sort,HOU3,2018,28,31466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.46,0,4.9
North America Fulfillment Centers (FCs),Legacy Non Sort,HOU3,2018,29,39222,1,0,2,0,0,0,0,0,3,1,13,0,58,0,15.3,9.01,5.1,4.92
North America Fulfillment Centers (FCs),Legacy Non Sort,HOU3,2018,30,30139,2,0,1,0,0,0,0,0,3,2,69,0,95,0,19.91,9.65,13.27,5.4
North America Fulfillment Centers (FCs),Legacy Non Sort,HOU3,2018,31,33276,2,0,1,0,0,0,0,0,3,2,92,0,104,0,18.03,10.15,12.02,5.8
North America Fulfillment Centers (FCs),Legacy Non Sort,HOU3,2018,32,33704,0,0,1,0,0,0,0,0,1,0,0,0,8,0,5.93,9.91,0,5.47
North America Fulfillment Centers (FCs),Legacy Non Sort,HOU3,2018,33,33258,0,0,2,0,0,0,1,0,3,0,0,0,70,0,18.04,10.35,0,5.17
North America Fulfillment Centers (FCs),Legacy Non Sort,HOU3,2018,34,34010,3,0,0,0,0,0,0,0,3,3,222,0,0,0,17.64,10.73,17.64,5.82
North America Fulfillment Centers (FCs),Legacy Non Sort,HOU3,2018,35,35407,3,0,0,0,0,0,0,0,3,3,57,0,0,0,16.95,11.05,16.95,6.4
North America Fulfillment Centers (FCs),Legacy Non Sort,HOU3,2018,36,46097,1,0,1,0,0,0,0,0,2,1,31,0,40,0,8.68,10.9,4.34,6.27
North America Fulfillment Centers (FCs),Legacy Non Sort,HOU3,2018,37,40838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.32,0,5.94
North America Fulfillment Centers (FCs),Legacy Non Sort,HOU3,2018,38,43048,3,0,1,0,0,0,0,0,4,3,186,0,150,0,18.58,10.76,13.94,6.36
North America Fulfillment Centers (FCs),Legacy Non Sort,HOU3,2018,39,39293,1,0,1,0,0,0,0,0,2,1,32,0,159,0,10.18,10.73,5.09,6.3
North America Fulfillment Centers (FCs),Legacy Non Sort,HOU3,2018,40,37790,2,0,2,0,0,0,0,0,4,2,46,0,15,0,21.17,11.17,10.58,6.48
North America Fulfillment Centers (FCs),Legacy Non Sort,HOU3,2018,41,41471,1,0,1,0,0,0,0,0,2,1,130,0,65,0,9.65,11.11,4.82,6.41
North America Fulfillment Centers (FCs),Legacy Non Sort,HOU3,2018,42,41777,0,0,1,0,0,0,0,0,1,0,0,0,23,0,4.79,10.84,0,6.13
North America Fulfillment Centers (FCs),Legacy Non Sort,HOU3,2018,43,42548,0,0,2,0,0,0,0,0,2,0,0,0,190,0,9.4,10.78,0,5.88
North America Fulfillment Centers (FCs),Legacy Non Sort,HOU3,2018,44,42564,3,0,3,0,0,0,0,0,6,3,31,0,98,0,28.19,11.47,14.1,6.21
North America Fulfillment Centers (FCs),Legacy Non Sort,HOU3,2018,45,46841,2,0,1,0,0,0,0,0,3,2,23,0,162,0,12.81,11.53,8.54,6.31
North America Fulfillment Centers (FCs),Legacy Non Sort,HOU3,2018,46,49984,1,0,1,0,0,0,0,0,2,1,5,0,14,0,8,11.38,4,6.21
North America Fulfillment Centers (FCs),Legacy Non Sort,HOU3,2018,47,57815,1,0,1,0,0,0,0,0,2,1,120,0,51,0,6.92,11.17,3.46,6.08
North America Fulfillment Centers (FCs),Legacy Non Sort,HOU3,2018,48,56465,2,0,0,0,0,0,0,0,2,2,18,0,45,0,7.08,10.99,7.08,6.12
North America Fulfillment Centers (FCs),Legacy Non Sort,HOU3,2018,49,49842,2,0,1,0,0,0,0,0,3,2,127,0,77,0,12.04,11.02,8.03,6.19
North America Fulfillment Centers (FCs),Legacy Non Sort,HOU3,2018,50,52070,2,0,0,0,0,0,0,0,2,2,31,0,0,0,7.68,10.9,7.68,6.25
North America Fulfillment Centers (FCs),Legacy Non Sort,HOU3,2018,51,48437,2,0,0,0,0,0,1,0,3,2,61,0,0,0,12.39,10.95,8.26,6.32
North America Fulfillment Centers (FCs),Legacy Non Sort,HOU3,2018,52,33075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.7,0,6.17
North America Fulfillment Centers (FCs),Legacy Non Sort,HOU3,2019,1,32220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North America Fulfillment Centers (FCs),Legacy Non Sort,HOU3,2019,2,31411,1,0,0,0,0,0,1,0,2,1,74,0,0,0,12.73,6.29,6.37,3.14
North America Fulfillment Centers (FCs),Legacy Non Sort,HOU3,2019,3,30077,1,0,1,0,0,0,0,0,2,1,13,0,6,0,13.3,8.54,6.65,4.27
North America Fulfillment Centers (FCs),Legacy Non Sort,HOU3,2019,4,28847,1,0,1,0,0,0,0,0,2,1,5,0,201,0,13.87,9.79,6.93,4.9
North America Fulfillment Centers (FCs),Legacy Non Sort,HOU3,2019,5,30187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.86,0,3.93
North America Fulfillment Centers (FCs),Legacy Non Sort,HOU3,2019,6,29145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,0,3.3
North America Fulfillment Centers (FCs),Legacy Non Sort,HOU3,2019,7,30740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.64,0,2.82
North America Fulfillment Centers (FCs),Legacy Non Sort,HOU3,2019,8,32223,3,0,0,0,0,0,1,0,4,3,52,0,72,0,24.83,8.17,18.62,4.9
North America Fulfillment Centers (FCs),Legacy Non Sort,HOU3,2019,9,32545,1,1,0,0,0,0,1,0,3,2,6,9,0,24,18.44,9.37,12.29,5.77
North America Fulfillment Centers (FCs),Legacy Non Sort,HOU3,2019,10,32913,0,0,1,0,0,0,0,0,1,0,0,0,84,0,6.08,9.02,0,5.16
North America Fulfillment Centers (FCs),Legacy Non Sort,HOU3,2019,11,32772,1,0,2,0,0,0,0,0,3,1,22,0,105,0,18.31,9.91,6.1,5.25
